Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
23751,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,Unknown,"Nekomonogatari: Shiro, White, Kabukimonogatari, Hanamonogatari, Otorimonogatari, Onimonogatari, Koimonogatari",〈物語〉シリーズ セカンドシーズン,Novel,6,199,Finished,"Oct  27, 2010 to Dec  20, 2011","{'from': '2010-10-27', 'to': '2011-12-20'}","['Comedy', 'Mystery', 'Drama', 'Vampire', 'Supernatural']","['NISIO, ISIN (Story)', ' VOFAN (Art)']",None,8.88,19,881,12061,367,2904
104,https://myanimelist.net/manga/104/Yotsuba_to,Yotsuba&!,Yotsuba and!,よつばと!,Manga,Unknown,Unknown,Publishing,"Mar  21, 2003 to ?","{'from': '2003-03-21', 'to': 'Unknown'}","['Comedy', 'Slice', 'Slice']","['Azuma, Kiyohiko (Story & Art)']",Dengeki Daioh,8.87,20,52,95958,12189,36698
642,https://myanimelist.net/manga/642/Vinland_Saga,Vinland Saga,Unknown,ヴィンランド・サガ,Manga,Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","{'from': '2005-04-13', 'to': 'Unknown'}","['Action', 'Adventure', 'Drama', 'Historical', 'Seinen']","['Yukimura, Makoto (Story & Art)']",Afternoon,8.87,21,28,117331,12478,44184
651,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausica%C3%A4,Nausicaä of the Valley of the Wind,Kaze no Tani no Nausicaa,風の谷のナウシカ,Manga,7,59,Finished,"Oct  9, 1982 to Feb  10, 1994","{'from': '1982-10-09', 'to': '1994-02-10'}","['Action', 'Adventure', 'Fantasy', 'Supernatural']","['Miyazaki, Hayao (Story & Art)']",Animage,8.86,22,236,35893,2752,11345
56805,https://myanimelist.net/manga/56805/Koe_no_Katachi,A Silent Voice,The Shape of Voice,聲の形,Manga,7,64,Finished,"Aug  7, 2013 to Nov  19, 2014","{'from': '2013-08-07', 'to': '2014-11-19'}","['Drama', 'School', 'Shounen']","['Ooima, Yoshitoki (Story & Art)']",Shounen Magazine (Weekly),8.86,23,13,179388,17919,97408
21525,https://myanimelist.net/manga/21525/Akatsuki_no_Yona,Yona of the Dawn,Yona: The Girl Standing in the Blush of Dawn,暁のヨナ,Manga,Unknown,Unknown,Publishing,"Aug  5, 2009 to ?","{'from': '2009-08-05', 'to': 'Unknown'}","['Action', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']","['Kusanagi, Mizuho (Story & Art)']",Hana to Yume,8.85,24,72,76447,9215,28874
1303,https://myanimelist.net/manga/1303/Ashita_no_Joe,Unknown,"Rocky Joe, Tomorrow's Joe",あしたのジョー,Manga,20,171,Finished,"Jan  1, 1968 to May  13, 1973","{'from': '1968-01-01', 'to': '1973-05-13'}","['Drama', 'Shounen', 'Sports', 'Slice', 'Slice']","['Kajiwara, Ikki (Story)', ' Chiba, Tetsuya (Art)']",Shounen Magazine (Weekly),8.85,25,423,22101,2218,7429
55215,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria,The Empty Box and Zeroth Maria,HakoMari,空ろの箱と零のマリア,Novel,7,40,Finished,"Jan  10, 2009 to Jun  10, 2015","{'from': '2009-01-10', 'to': '2015-06-10'}","['Action', 'Mystery', 'Drama', 'Horror', 'Romance', 'School', 'Supernatural', 'Psychological', 'Thriller']","['Mikage, Eiji (Story)', ' Tetsuo (Art)']",None,8.84,26,70,76928,4771,15164
35243,https://myanimelist.net/manga/35243/Haikyuu,Haikyu!!,"High Kyuu!!, HQ!!, Nisekyuu!!",ハイキュー!!,Manga,Unknown,Unknown,Publishing,"Feb  20, 2012 to ?","{'from': '2012-02-20', 'to': 'Unknown'}","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","['Furudate, Haruichi (Story & Art)']",Shounen Jump (Weekly),8.83,27,56,91000,8489,36818
14483,https://myanimelist.net/manga/14483/Uchuu_Kyoudai,Space Brothers,Uchu Kyodai,宇宙兄弟,Manga,Unknown,Unknown,Publishing,"Dec  6, 2007 to ?","{'from': '2007-12-06', 'to': 'Unknown'}","['Drama', 'Sci', 'Sci', 'Space', 'Seinen']","['Koyama, Chuuya (Story & Art)']",Morning,8.82,28,524,18647,1075,5004
